Date and Time,PH,TDS(ppm),Turbity(NTU)
2023-02-14 04:20:55,19,19,19
2023-02-14 04:25:53,19,19,19
2023-02-14 22:38:37,6.4,0,2.29
2023-02-14 22:49:07,6.4,0,2.29
2023-02-14 23:05:29,6.4,0,2.29
2023-02-14 23:18:28,8,0,2.29
2023-02-14 23:18:34,2,0,2.29
2023-02-14 23:18:53,2,0,70
2023-02-14 23:18:57,2,300,70
2023-02-14 23:23:06,1,300,70
2023-02-14 23:23:11,1,400,70
2023-02-14 23:23:18,1,400,150
2023-02-14 23:27:36,9,400,150
2023-02-14 23:27:41,9,300,150
2023-02-14 23:27:47,8,300,150
2023-02-14 23:27:51,8,300,130
2023-02-14 23:35:18,12,300,130
2023-02-14 23:35:28,12,290,130
2023-02-14 23:35:35,12,290,135
2023-02-14 23:37:35,12,290,130
2023-02-14 23:44:05,12,290,150
2023-02-14 23:47:16,12,300,150
2023-02-14 23:51:42,14,300,150
2023-02-15 00:02:38,3,300,150
2023-02-15 00:02:43,3,290,150
2023-02-15 01:48:49,7.5,290,150
2023-02-15 01:48:57,7.5,70,150
2023-02-15 01:49:05,7.5,70,0.5
2023-02-15 02:08:47,12,70,0.5
2023-02-15 02:10:41,13,70,0.5
2023-02-15 02:15:27,14,70,0.5
2023-02-15 02:41:32,13,70,0.5
2023-02-15 03:09:06,13,0,0.5
2023-02-15 03:09:06,13,0,627
2023-02-15 03:09:07,8.94,0,627
2023-02-15 03:09:08,8.41,0,627
2023-02-15 03:09:10,8.83,0,627
2023-02-15 03:09:28,9.53,0,627
2023-02-15 03:09:47,9.53,0,600
2023-02-15 03:09:57,9.18,0,600
2023-02-15 03:10:16,9.18,0,627
2023-02-15 03:10:26,9.25,0,627
2023-02-15 03:10:46,8.62,0,627
2023-02-15 03:10:48,8.17,0,627
2023-02-15 03:10:50,8.55,0,627
2023-02-15 03:11:07,8.14,0,627
2023-02-15 03:11:36,8.38,0,627
2023-02-15 03:12:04,9.28,0,627
2023-02-15 03:12:36,8.9,0,627
2023-02-15 03:13:33,8.17,0,627
2023-02-15 03:13:34,8.38,0,627
2023-02-15 03:13:37,8.41,0,627
2023-02-15 03:13:59,8.45,0,627
2023-02-15 03:14:01,8.55,0,627
2023-02-15 03:14:02,8.45,0,627
2023-02-15 03:14:23,8.41,0,627
2023-02-15 03:14:28,8.97,0,627
2023-02-15 03:14:53,9.56,0,627
2023-02-15 03:15:22,8.48,0,627
2023-02-15 03:15:51,8.62,0,627
2023-02-15 03:16:19,8.73,0,627
2023-02-15 03:16:48,8.48,0,627
2023-02-15 03:17:16,8.9,0,627
2023-02-15 03:18:19,6.71,0,627
2023-02-15 03:18:21,8.38,0,627
2023-02-15 03:18:23,8.17,0,627
2023-02-15 03:18:41,8.87,0,627
2023-02-15 03:19:10,8.62,0,627
2023-02-15 03:19:39,8.21,0,627
2023-02-15 03:21:15,8.21,0,150
2023-02-15 03:21:29,10.21,0,150
2023-02-15 03:21:39,10.21,200,150
2023-02-15 03:21:50,10.21,200,30
2023-02-15 11:20:50,10.21,200,30
2023-02-15 11:43:19,10.21,0,30
2023-02-15 11:43:19,10.21,0,627
2023-02-15 11:43:20,5.35,0,627
2023-02-15 11:43:21,5.18,0,627
2023-02-15 11:43:33,5.14,0,627
2023-02-15 11:45:42,5.14,70,627
2023-02-15 11:45:45,6.33,70,627
2023-02-15 11:46:42,6.33,70,0.5
2023-02-15 12:34:29,6.33,70,627
2023-02-15 12:34:30,2.67,70,627
2023-02-15 12:37:43,5.18,70,627
2023-02-15 12:37:44,5.84,70,627
2023-02-15 12:37:46,5.11,70,627
2023-02-15 12:38:04,5.14,70,627
2023-02-15 12:39:09,4.97,70,627
2023-02-15 12:39:25,5.18,70,627
2023-02-15 12:39:42,5.87,70,627
2023-02-15 12:40:04,5.77,70,627
